关系抽取_RE_Spatial_Cognitive,关系抽取_RE_Cognitive_Emotion,关系抽取_RE_Emotion_Behavior,关系抽取_RE_Spatial_Emotion
[玻璃栈桥] -> [视野开阔]; [下关火车遗址公园] -> [有历史感],[好看] -> [愉悦/开心]; [有历史感] -> [兴趣/好奇],[愉悦/开心] -> [推荐; 想常来],[开阔江景] -> [放松/平静]
,,[悲伤/失望] -> [下次还来],[日落] -> [悲伤/失望]
[长江边] -> [景色宜人]; [长江生态园] -> [自然美景],[自然美景] -> [放松/平静]; [回到小时候] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 下次还想来],[长江景色] -> [放松/平静]
[玻璃栈桥] -> [视野开阔]; [落日余晖] -> [出片],[宁静氛围] -> [放松/平静]; [文学联想] -> [怀旧/温馨],[放松/平静] -> [享受宁静散步]; [怀旧/温馨] -> [推荐游览路线],[落日余晖] -> [愉悦/开心]
[晚霞] -> [绝美]; [轮渡] -> [治愈落日江景],[浪漫氛围] -> [愉悦/开心]; [绝美晚霞] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 想常来],[橘色晚霞] -> [愉悦/开心]; [治愈落日江景] -> [治愈感]
[轮渡] -> [支持支付宝支付]; [玻璃栈道] -> [跟随人群],[食物香味] -> [愉悦/开心],[愉悦/开心] -> [推荐],[长江景观] -> [兴趣/好奇]
[民国海军医院旧址] -> [历史遗产]; [中西合璧建筑风格] -> [设计感强],[历史遗产] -> [自豪/归属感]; [建筑史价值] -> [敬佩],[自豪/归属感] -> [推荐/值得参观],[中西合璧建筑] -> [敬佩]; [临江位置] -> [自然生态之美]
,,,
[南京眼步行桥] -> [长江上首座观光步行桥]; [花山大桥] -> [国内首创四拱一塔结构],[创意十足的设计] -> [敬畏/惊叹]; [独特造型] -> [兴趣/好奇],[愉悦/开心] -> [推荐打卡]; [敬畏/惊叹] -> [想常来],[水面倒影] -> [浪漫]; [比心造型] -> [愉悦]; [月牙造型] -> [诗意感受]
[火车和高铁] -> [儿童注意力集中]; [宽敞空间] -> [让娃自由奔跑],[风景不错] -> [放松/平静]; [遛娃体验好] -> [愉悦/开心],[放松/平静] -> [推荐; 下次还来],[高铁穿梭场景] -> [兴趣/好奇]
[木制风格] -> [好看/出片]; [木制风格] -> [有设计感],[好看/出片] -> [愉悦/开心],[愉悦/开心] -> [想再来/推荐],[木制风格] -> [愉悦/开心]
[夕阳西下] -> [挺美的],[挺美的] -> [愉悦/开心]; [很适合拍照] -> [放松/平静],[愉悦/开心] -> [有兴趣前往],[夕阳西下] -> [愉悦/开心]
[长江大桥] -> [视野开阔]; [南堡公园电梯] -> [方便通行],[视野开阔] -> [舒适/安全]; [出片率高] -> [兴趣/好奇],[舒适/安全] -> [推荐错峰游览],[开阔江景] -> [舒适/安全]
[城市景观] -> [适合摄影]; [高楼位置] -> [视野开阔],[满足感] -> [自豪/归属感],[自豪/归属感] -> [下次还来],[城市景观] -> [满足感]
[中山码头] -> [位置便利]; [七哥渔小馆] -> [环境不错],[价格亲民] -> [愉悦/开心]; [家的味道] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 下次还来],[家的味道] -> [怀旧/温馨]
[绿皮车厢] -> [复古风格]; [夕阳照射车厢] -> [出片]; [铁路轨道] -> [有历史感],[出片] -> [愉悦/开心]; [视觉震撼] -> [敬畏/惊叹],[愉悦/开心] -> [想常来]; [敬畏/惊叹] -> [拍照],[橘黄色光斑] -> [惊艳]; [夕阳剪影] -> [愉悦]
[南京西站] -> [有回忆]; [铁路栈桥] -> [有故事],[怀旧] -> [怀旧/温馨]; [亲人思念] -> [悲伤/失望],[怀旧/温馨] -> [跟着外婆去江边的铁路栈桥上玩],[江边的风] -> [怀旧/温馨]
[轮渡服务] -> [路线清晰; 票价便宜]; [日落景观] -> [风景真的很美],[风景真的很美] -> [愉悦/开心]; [橘子海日落] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 想常来],[橘子海日落] -> [敬畏/惊叹]
[民国海军医院] -> [有历史感]; [修复后的罗马柱] -> [有设计感],[历史感] -> [敬佩]; [民国建筑风格] -> [怀旧],[敬佩] -> [推荐作为历史文化探索地点],[瞭望塔] -> [敬佩]
[铁路轮渡栈桥旧址] -> [城市历史脚印]; [民国建筑遗存] -> [历史厚重感],[历史厚重感] -> [怀旧/温馨]; [城市历史脚印] -> [敬佩/惊叹],[怀旧/温馨] -> [推荐作为历史厚重感的citywalk线路],[民国建筑遗存] -> [怀旧/温馨]
[船型大厦] -> [造型独特]; [米黄灰色外立面] -> [米黄灰色协调],[造型独特] -> [敬佩]; [历史意义] -> [怀旧],[敬佩/怀旧] -> [建议参观],[船型建筑轮廓] -> [敬佩]
[遮天的梧桐] -> [清凉]; [光秃秃的枝丫] -> [失落],[童年记忆] -> [怀旧/温馨]; [失去记忆空间] -> [悲伤/失望],[悲伤/失望] -> [不会再来/劝退],[虫鸣清风的夏天] -> [怀旧/温馨]
[浦口火车站] -> [中国最美文艺火车站]; [扬子江公园] -> [可以遥望长江],[见证历史风霜] -> [怀旧/温馨]; [最美文艺火车站] -> [敬畏/惊叹],[怀旧/温馨] -> [推荐前往],[长江景色] -> [敬畏/惊叹]
[下关大马路拆迁] -> [城市变迁感]; [京市铁路支线] -> [历史痕迹],[怀旧氛围] -> [怀旧/温馨]; [城市变迁] -> [感慨/沉思],[怀旧/温馨] -> [记录城市记忆],[女子背孩子路过] -> [生活气息保留]
[中山码头轮渡] -> [幸福]; [长江观景] -> [好治愈],[幸福] -> [愉悦/开心]; [好治愈] -> [放松/平静],[愉悦/开心] -> [推荐]; [放松/平静] -> [下次还来],[落日景象] -> [幸福]; [长江船只景观] -> [好治愈]
[长江一线江景] -> [推窗见景]; [历史文化遗址] -> [历史控狂喜],[诗和远方] -> [期待/希望]; [历史控狂喜] -> [兴趣/好奇],[期待/希望] -> [推荐/有意向购买或访问],[天然滤镜随手拍] -> [兴趣/好奇]
[废旧铁轨] -> [容易出片]; [民国旧车站] -> [有历史感],[热烈的黄昏色彩] -> [愉悦/开心]; [历史余音] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 下次还来],[落日光辉] -> [敬畏/惊叹]
[浦口火车站] -> [有历史韵味]; [情深深雨蒙蒙音乐] -> [浪漫的],[怀旧的氛围] -> [怀旧/温馨]; [浪漫的氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[情深深雨蒙蒙音乐] -> [愉悦/开心]
[大桥公园维修] -> [不可达]; [公园前行路线] -> [可达性],[司机善意帮助] -> [感激]; [避免受骗] -> [欣慰],[感激] -> [感谢司机],
[长江航道局老办公楼] -> [承载老下关历史变迁]; [90年代建筑风格] -> [代表特定时代设计感],[怀旧氛围] -> [怀旧/温馨]; [时间穿越感] -> [敬佩/惊叹],[怀旧/温馨] -> [每次路过都会看一眼],[老建筑外观] -> [怀旧/温馨]
[南京扬子江国际会议中心停车场] -> [停车方便]; [公共自行车] -> [轻松不累],[停车方便] -> [舒适/安全]; [轻松不累] -> [愉悦/开心],[舒适/安全] -> [推荐; 下次还来],[江边步道] -> [轻松愉快]
[长江之恋游轮] -> [梦幻至极]; [夕阳] -> [浪漫],[梦幻景色] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来],[湛蓝清澈江水] -> [愉悦/开心]; [浪漫夕阳] -> [放松/平静]
[中山码头] -> [很出片]; [日落] -> [绝美]; [南京北站废弃建筑] -> [展示岁月痕迹],[很出片] -> [愉悦/开心]; [绝美日落] -> [愉悦/开心]; [岁月痕迹] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 下次还来]; [怀旧/温馨] -> [感受朱自清《背影》],[夕阳映满天空] -> [愉悦/开心]; [傍晚凉风] -> [放松/平静]
[鼓楼滨江一线景观] -> [无需滤镜的自然美感]; [地暖中央空调] -> [舒适],[开阔江景] -> [愉悦/开心]; [舒适居住条件] -> [舒适/安全],[愉悦/开心] -> [推荐/愿意入住],[开阔江景] -> [愉悦/开心]
[玻璃栈桥] -> [亮灯视觉效果]; [民国时期建筑群] -> [历史感],[路线清晰且轻松] -> [放松/平静]; [民国历史建筑] -> [兴趣/好奇],[放松/平静] -> [推荐/想常来],[玻璃栈桥亮灯] -> [兴趣/好奇]
[阅江楼] -> [巍峨壮观]; [下关火车主题公园] -> [烟火气十足],[现代与历史碰撞] -> [兴趣/好奇]; [巍峨壮观] -> [敬畏/惊叹],[愉悦/开心] -> [推荐体验],[阅江楼顶楼视野] -> [敬畏/惊叹]
[中山码头] -> [位置明确]; [餐馆] -> [味道惊艳],[味道惊艳] -> [愉悦/开心]; [食物香气] -> [放松/平静],[愉悦/开心] -> [强烈推荐]; [焦虑] -> [购买锅贴缓解饥饿],[香味] -> [放松/平静]; [醋味] -> [愉悦/开心]
[霓虹灯] -> [璀璨],[璀璨] -> [愉悦/开心],无法判断,[霓虹灯] -> [愉悦/开心]
[码头咖啡] -> [怀旧氛围]; [中山码头] -> [历史与现代的结合],[静谧中的岁月感] -> [放松/平静]; [连接过去与现在的纽带] -> [自豪/归属感],[放松/平静] -> [坐在角落喝咖啡]; [自豪/归属感] -> [推荐下次还来],[昏黄灯光] -> [宁静]; [日落] -> [治愈]
[灯光] -> [美出新level],[美出新level] -> [愉悦/开心]; [灯光氛围] -> [浪漫],[愉悦/开心] -> [观景]; [不适] -> [抱怨天气],[灯光] -> [愉悦/开心]; [江边风] -> [不适]
[中山码头] -> [历史意义]; [大马路近代建筑群] -> [唤醒记忆]; [绿城低密洋房] -> [天空之境],[百年历史] -> [敬畏/惊叹]; [历史与现代交融] -> [自豪/归属感],[自豪/归属感] -> [推荐; 下次还来],[巴洛克式罗马柱与现代建筑] -> [愉悦/开心]
,,,
[下关火车主题公园] -> [适合拍照的小众景点]; [夕阳剪影] -> [浪漫],[电影感] -> [愉悦/开心]; [听江水涨潮] -> [兴趣/好奇],[愉悦/开心] -> [推荐],[夕阳剪影] -> [浪漫]
[下关火车主题公园] -> [有历史感]; [铁轨] -> [富有故事性],[富有故事性] -> [怀旧/温馨]; [有历史感] -> [怀旧/温馨],[怀旧/温馨] -> [推荐/想再来],[滨江边的风景] -> [愉悦/开心]
[斑驳站台] -> [古朴]; [树木葱茏] -> [生机宁静],[宁静氛围] -> [放松/平静]; [历史韵味] -> [怀旧/温馨],[怀旧/温馨] -> [推荐; 想常来],[旧时光画轴] -> [怀旧/温馨]
,,,
[中山码头-浦口码头轮渡] -> [便捷]; [总统府] -> [人山人海],[游船体验不错] -> [愉悦/开心]; [人太多] -> [疲惫],[愉悦/开心] -> [推荐; 会再来],[夜景] -> [愉悦/开心]
[浦口火车站] -> [历史厚重]; [民国风情街] -> [老电影场景],[复古文艺] -> [怀旧/温馨]; [出片率高] -> [愉悦/开心],[怀旧/温馨] -> [推荐; 下次还来],[中山停灵台] -> [敬畏/惊叹]
[南京西站] -> [民国风有设计感]; [朱自清《背影》场景] -> [文学记忆],[文艺气息浓厚] -> [愉悦/开心]; [历史厚重感] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 下次还来],[民国风格建筑] -> [愉悦/开心]
[南京西站] -> [有历史感]; [南京西站] -> [有文化底蕴],[有历史感] -> [怀旧/温馨]; [有文化底蕴] -> [自豪/归属感],[怀旧/温馨] -> [推荐/想来],[老式火车站建筑风格] -> [怀旧/温馨]
[红顶黄墙建筑] -> [恢宏气势浑然天成]; [朱自清《背影》场景] -> [有故事],[有历史感] -> [怀旧/温馨]; [文艺氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[秋日下午三点光线] -> [愉悦/开心]
[入口位置] -> [方向感强]; [玻璃栈道] -> [灯光效果],[方向感强] -> [愉悦/开心]; [灯光效果] -> [兴趣/好奇],[愉悦/开心] -> [推荐前往],[灯光效果] -> [兴趣/好奇]
[江豚观测点] -> [浪漫氛围]; [骑行道] -> [路线清晰],[环保理念] -> [自豪/归属感]; [江豚观赏] -> [愉悦/开心],[愉悦/开心] -> [积极参与活动]; [自豪/归属感] -> [推荐参与],[江豚跃出水面] -> [惊喜/愉悦]
[江边草坪] -> [适合玩耍野营]; [四月天气] -> [舒服],[舒服] -> [放松/平静]; [适合玩耍野营] -> [愉悦/开心],[放松/平静] -> [想每天都在外面拍拍拍]; [愉悦/开心] -> [推荐/下次还来],[江边草坪] -> [愉悦/开心]; [好天气] -> [放松/平静]
[下关火车主题公园] -> [适合拍照]; [绿皮火车] -> [有设计感],[电影感十足] -> [愉悦/开心]; [岁月静好] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[日系风格] -> [愉悦/开心]
[铁路轮渡栈桥旧址] -> [厚重的历史感]; [亚洲第一条铁路轮渡] -> [有设计感],[厚重的历史感] -> [怀旧/温馨]; [有文化底蕴] -> [敬畏/惊叹],[怀旧/温馨] -> [推荐了解历史],[铁路轮渡栈桥旧址] -> [怀旧/温馨]
[民国风貌建筑] -> [精致/庄重]; [万国建筑群] -> [出片]; [光影效果] -> [有设计感],[有历史感] -> [敬畏/惊叹]; [文艺氛围] -> [放松/平静],[愉悦/开心] -> [记录下这些美丽的瞬间]; [放松/平静] -> [忍不住记录],[光影中的书香] -> [宁静/放松]; [百年建筑] -> [敬畏/惊叹]
[轮渡] -> [性价比高]; [夕阳光线] -> [出片有层次感],[出片有层次感] -> [愉悦/开心]; [性价比高] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[夕阳下的江景] -> [愉悦/开心]
,,,
[南京西站] -> [有历史感],[有历史感] -> [怀旧/温馨],[怀旧/温馨] -> [参观],[与电视剧关联] -> [兴趣/好奇]
,[票价低廉] -> [愉悦/开心],[愉悦/开心] -> [推荐/愿意尝试],
[中山轮渡] -> [浪漫]; [橘子海日落] -> [吸引大批游客],[浪漫氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐],[橘子海日落] -> [愉悦/开心]
[长江游轮] -> [超棒]; [模拟驾驶舱] -> [出把船长瘾]; [观景草坪] -> [视野绝佳],[浪漫江边日落] -> [愉悦/开心]; [火车呼啸而过] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来],[模拟驾驶舱体验] -> [愉悦/开心]; [长江大桥视角] -> [敬畏/惊叹]
[老厂房改造] -> [有设计感]; [银杏树] -> [正在观赏期],[中式美学氛围] -> [放松/平静]; [涂鸦艺术] -> [兴趣/好奇],[放松/平静] -> [周末citywalk好去处],[银杏树观赏期] -> [愉悦/开心]
[玻璃栈道] -> [有设计感]; [晚霞] -> [浪漫],[浪漫] -> [愉悦/开心],[愉悦/开心] -> [推荐],[晚霞] -> [敬畏/惊叹]
[修缮过的近代建筑] -> [独特的历史氛围]; [绿皮火车] -> [历史氛围],[独特的历史氛围] -> [愉悦/开心]; [松弛感] -> [放松/平静],[放松/平静] -> [来过周末]; [愉悦/开心] -> [推荐],[夕阳西下江面] -> [感觉像是海边]; [江边散步] -> [松弛感]
[滨江岸线] -> [贯穿绿带]; [工业遗产] -> [有历史感],[放松氛围] -> [放松/平静]; [美景] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[日落] -> [治愈/敬畏]
[京艺术中心] -> [有设计感]; [包豪斯女孩油画] -> [很好看]; [轮渡] -> [便宜实用],[有艺术氛围] -> [兴趣/好奇]; [无敌江景] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[橘子海落日] -> [治愈/浪漫]; [包豪斯女孩油画] -> [喜爱]
[新兴景点] -> [客流过载]; [浦口火车站] -> [萧瑟],[历史沧桑感] -> [兴趣/好奇]; [本末倒置现象] -> [失望/悲伤],[失望/悲伤] -> [对新兴景点持保留态度],[《背影》文学联想] -> [兴趣/好奇]
[渡轮] -> [价格低廉]; [港口] -> [普通],[价格低廉] -> [兴趣/好奇]; [普通场景] -> [中立],[兴趣/好奇] -> [乘坐轮渡],
[轮渡] -> [实用性强]; [搬运工人雕塑] -> [真实还原],[温暖有爱] -> [怀旧/温馨]; [小朋友很开心] -> [愉悦/开心],[愉悦/开心] -> [推荐带娃打卡],[货轮目不暇接] -> [开心]; [船舱暖气] -> [舒适]
[南京长江大桥] -> [中国桥梁建设里程碑]; [桥身夜景] -> [如梦如幻],[历史意义] -> [自豪/归属感]; [雄伟桥身] -> [敬畏/惊叹],[敬畏/惊叹] -> [推荐/值得参观],[站在桥边看江面] -> [敬畏/惊叹]
[火车主题餐厅] -> [适合用餐和拍照]; [绿皮火车] -> [出片],[美好的风景] -> [愉悦/开心]; [世纪穿越之旅] -> [兴趣/好奇],[愉悦/开心] -> [推荐]; [放松/平静] -> [结束美好的一天],[日落景观] -> [美好感受]
[铁路轮渡栈桥旧址] -> [小众且安静]; [工业建筑遗址] -> [有历史感],[宁静氛围] -> [放松/平静]; [日落景观] -> [兴趣/好奇],[放松/平静] -> [推荐; 下次还来],[日落景观] -> [兴趣/好奇]
,,,
[南京长江大桥] -> [连接历史与未来],[见证新中国发展] -> [自豪/归属感]; [承载情感和记忆] -> [怀旧/温馨],,[南京长江大桥] -> [自豪/归属感; 怀旧/温馨]
[民国首都电厂旧址公园老建筑] -> [很难找]; [江边大露台] -> [视野好],[高端餐饮体验] -> [愉悦/开心]; [独特投资眼光] -> [兴趣/好奇],[愉悦/开心] -> [推荐/会再来],[江边大露台] -> [愉悦/开心]
[玻璃栈道] -> [看大桥最佳位置]; [傍晚灯光] -> [浪漫氛围],[绝美落日] -> [愉悦/开心]; [浪漫灯光] -> [放松/平静],[愉悦/开心] -> [推荐; 想常来],[玻璃栈道] -> [兴趣/好奇]; [傍晚灯光] -> [放松/平静]
[下关滨江] -> [江边无尽浪漫]; [铁路轮渡旧址] -> [有纪念意义],[浪漫氛围] -> [放松/平静]; [民国风情] -> [兴趣/好奇],[放松/平静] -> [推荐作为雨后徒步路线],[雨后天气] -> [放松/平静]
[南京长江大桥] -> [变化真大]; [绿草地] -> [好不惬意],[怀旧记忆] -> [怀旧/温馨]; [好不惬意] -> [愉悦/开心],[愉悦/开心] -> [下次还想来],[夕阳] -> [愉悦/开心]
[中山码头] -> [无法乘坐渡轮]; [达摩古洞] -> [无法参观],[无法参观] -> [失望/悲伤],[失望/悲伤] -> [计划再次来访],
[中山码头] -> [厚重历史]; [青石板和缆绳] -> [往昔繁忙与喧嚣]; [中山之名] -> [对孙中山先生伟大精神的缅怀与敬仰],[厚重历史] -> [敬畏/惊叹]; [对孙中山先生伟大精神的缅怀与敬仰] -> [自豪/归属感]; [历史韵味与文化底蕴] -> [怀旧/温馨],[敬畏/惊叹] -> [吸引游客与学者前来探访],[历史的纱幔] -> [沉醉]
[长江大桥玻璃栈道] -> [距离相近]; [风大] -> [停航],[咖啡厅音乐很棒] -> [愉悦/开心],[愉悦/开心] -> [下次还想来],[风大] -> [被吹乱发型但仍感到愉快]
[玻璃栈道] -> [灯光漂亮]; [长江大桥] -> [视野开阔],[构图讲究] -> [兴趣/好奇]; [日落景色] -> [愉悦/开心],[兴趣/好奇] -> [摄影体验]; [愉悦/开心] -> [下次还想来],[日落景色] -> [愉悦/开心]; [灯光效果] -> [愉悦/开心]
