行为活动_Behavior_Activities,行为活动_Behavior_Approach_Avoidance_Intent,行为活动_Behavior_Plan_Change,行为活动_Behavior_Activity_Evaluation
拍照; 观景; 散步; 等待落日,推荐; 下次还来,否,拍照体验很好，但需注意穿着和安全
参观; 拍照; 步行游览; 乘坐轮渡; 打车观景,推荐该线路,是（因体力问题改变登长江大桥计划）,拍摄体验满意; 认为线路选择正确
乘坐地铁; 换乘公交; 步行,,否,
乘坐轮渡,推荐/有兴趣尝试,否,
乘坐轮渡; 拍照; 观景; 散步; 看日落,推荐; 想常来,否,真的很松弛也很出片
购物; 通勤; 教育,可能回避（因无人接手的尴尬）,无法判断,无法判断
研究; 探索,鼓励探索与发现,否,
拍照; 打卡; 游览,推荐为小众打卡点,否,认为性价比高，适合拍照打卡
摄影; 游览,推荐/下次还来,否,拍摄体验满意
,,,
拍照; 散步,推荐; 强烈推荐,否,超级无敌出片；更适合拍摄孤独、自由感风格
,,,
喝咖啡; 观察环境,可能推荐（通过“这家藏”暗示喜爱）,无法判断,
观光; 拍照; 乘坐公交车; 步行,建议避免接触水域,否,欣赏到美丽的夕阳，但对水域安全表示担忧
观察; 拍照; 回忆,无明确倾向,否,观察细致，对结果抱有复杂情绪
乘坐轮渡; 拍照; 游览,不会推荐/不会再来,否,拍照体验满意但场景荒凉影响整体感受
骑行; 拍照; 观景; 乘坐轮渡; 看日落; 游览,推荐; 想常来,否,骑行自由随性; 拍照体验好; 日落观赏令人期待
,,,
乘坐轮渡; 使用移动支付,推荐/下次还来,无法判断,支付过程顺畅
乘坐轮渡; 拍照; 观看夕阳; 购买小吃,推荐；会再来,否,拍摄体验满意；对夕阳和空间层次感到惊喜
骑行; 观赏落日; 喝咖啡,推荐; 下次还来,否,骑行很舒服；看落日很治愈
拍照; 观景; 打卡; 看日落,推荐; 下次还来,否,拍照很出片
,,,
拍照; 观景; 打卡; 聊天; 野餐; 看日落,推荐; 下次还来,否,闲趣时光美不胜收
拍照; 婚纱摄影; 商业拍摄; 剧组拍摄,推荐/吸引来拍摄,否,小预算也能拍出好效果
散步; 拍照; 发呆,无明确意愿表达,否,适合安静思考的空间
徒步; 参观历史遗迹; 学习历史文化,推荐/想参加,否,活动设计合理但有一定体能要求
就餐; 拍照; 观景; 等待; 聊天,推荐; 想常来; 计划圣诞节再来,是（因惊喜场景改变离去计划）,咖啡好喝; 拍照体验满意; 场景变化带来意外惊喜
,,,
提问/询问; 回忆,,,
拍照; 乘坐轮渡; 观光; 盖章留念,推荐; 下次还来,否,拍照体验满意；轮渡观光过程愉快
乘坐轮渡,不会在周末再来,否,对轮渡体验本身感到满足，但对等待时间表示不满
漫步; 眺望; 倚靠; 观赏城市风光,推荐/常来,否,感受到对城市的热爱和大桥的敬仰
拍照; 游览,无法判断,否,
步行; 骑行; 观景; 拍照; 参观,推荐; 下次还来,否,骑行很考验人的毅力但值得尝试
购物,促进消费意向,否,
观光游览; 乘坐游轮; 拍照; 观赏长江日落; 感受历史变迁,推荐; 下次还来,否,很棒的体验
city walk; 拍照; 被拍; 参观; 旅拍; 用餐; 阅读; 玩桌游; 赏落日,推荐; 想参加,否,赏玩路线集艺术与人文为一体; 徒步、拍照、用餐等活动体验良好
,,,
散步; 骑行; 拍照; 观景; 乘坐轮渡; 游览; 野餐/休憩; 参观历史遗址,推荐; 想再来,否,观日落体验很好; 拍照出片
拍照; 游览; 回忆,听说翻新后想再去看看,否,通过照片唤起美好回忆
看日落; 散步; 拍照; 打卡; 观景,推荐; 下次还来,否,拍照打卡都超nice，很有氛围感
散步; 观景; 拍照,下次还来,否,拍照留念，感受自然之美
徒步; 散步; 听音乐; 沉思; 欣赏风景,推荐; 想常来,否,那种惬意的感觉令人难忘
摄影; 观景; 散步; 休闲游览,推荐; 想常来,否,拍照体验很好，特别容易出片
乘坐轮渡; 拍照; 观景; 沉思; 写作,强烈推荐并赋予深刻意义,否,摄影体验满意并激发创作灵感
冥想/思考,,,
参观历史文化街区; 拍照留念; 阅读历史介绍; 乘坐轮渡; 游览旧址; 品尝美食; 参与互动活动,推荐; 想常来,否,能深入了解南京铁路历史
散步; 拍照; 观景; 野餐; 游览; 夜间出行,推荐他人前往; 表达再次前往意愿,否,拍摄体验满意; 吹江风很舒服
观景; 拍照; 散步,推荐; 下次还来,否,无法判断
乘坐地铁; 乘坐公交; 乘坐轮渡; 打车,推荐该路线,否,认为该路线既能体验轮渡又不浪费时间
乘坐轮渡; 拍照; 游览; 观景,推荐,否,轮渡性价比高；适合拍照
约会; 拍照; 观景; 打卡; 饮用鸡尾酒,推荐; 下次还来,否,晚霞观赏和饮品体验都很满意
观景; 打卡; 观看动物,推荐/下次还来,否,觉得江豚宝宝很可爱，观看体验很好
乘坐轮渡; 观景; 看日落,推荐; 下次还来,否,轮渡性价比高且适合观赏日落
散步; 观景; 拍照; 打卡; 亲子活动; 遛娃; 发呆; 看落日,推荐; 下次还来,否,拍照很出片
步行; 骑行; 参观景点; 拍照; 休闲休息; 露营; 放风筝; 观景; 看日落; 看星星,强烈推荐收藏; 非常建议大家收藏起来这条宝藏亲子路线,否,步行和骑行都非常治愈
参观历史遗址; 缅怀历史人物; 阅读文学作品关联地游览,推荐/值得参观,否,
游览; 打卡,无明显倾向,否,
步行; 探索路线; 拍照打卡,仍前往打卡，但表达对配套设施不足的顾虑,是（调整步行路线）,步行路线可行但存在不便
打卡; 乘坐轮渡; 约会,推荐; 下次还来,否,适合情侣一起体验的浪漫线路
乘坐轮渡; 观景; 文化旅游游览; 参观浦口火车站旧址,推荐; 想常来,否,幸福就是这么简单
参观; 乘车; 拍照; 阅读文字; 观察人群,不会再来（因轮渡停运）,否,通过参观产生了深刻的情感共鸣
拍照; 打卡; 游览,推荐; 下次还来,否,拍照体验很好
就餐; 商务宴请; 私人聚会; 拍照打卡,推荐; 想常来,否,菜品精致可口，令人回味无穷
观景; 散步; 拍照,推荐前往观赏,否,适合夜间观赏长江景观
city walk; 观赏日落; 乘坐轮渡; 拍照; 散步; 发呆; 喝咖啡,推荐; 想常来,否,在夕Space咖啡店室外部分享受完美的观景体验
拍照; 观景; 散步,推荐; 下次还来,否,拍照很出片; 散步很放松
乘坐轮渡; 拍照; 观景; 看日落,推荐; 下次还来,否,拍照很出片; 观景很震撼
参观博物馆; 登山游览; 拍照打卡; 观看夜景; 乘坐观光车; 亲子活动; 文化体验; 购物休闲; 宗教参拜,推荐; 适合多次游玩,否,适合不同人群; 时间安排合理
,,,
参观; 拍照; 阅读; 就餐; 亲子活动; 观景,推荐; 下次还来,否,小朋友很开心; 玩得很尽兴
观景; 看日落,想常来,否,欣赏落日很浪漫
乘坐轮渡; 拍照; 散步; 观赏落日; 游览火车站,推荐; 下次还来,否,拍照体验很好; 感受到夕阳的美; 有文学影视联想的惊喜
拍照; 观景,推荐,否,拍摄体验良好
旅游观光; 打卡拍照; 探店; 历史探访,推荐热门线路; 对部分冷门区域无特别倾向,否,
乘船旅行; 购票; 参观历史陈列馆,,,乘船旅行省钱
游览; 拍照; 阅读课文回忆; 散步; 观景,推荐; 值得打卡,否,拍照体验很好
骑行; 野餐; 遛弯; 拍照; 观景,推荐; 下次还来,否,骑行感觉很不错
乘坐地铁; 乘坐公交; 步行; 拍照; 打卡,推荐/下次还来,否,拍照体验良好
摄影; 欣赏风景; 尝试飞行眼镜与穿越设备,推荐/下次还来,否,摄影体验满意，美景超出预期
,,,
骑行; 漫步; 拍照; 观景; 打卡; 露营; 看落日; 参观博物馆,推荐; 下次还来,否,骑行顺畅; 拍照出片
参观游览; 拍照打卡; 车厢内漫步,推荐; 想常来,否,车厢内漫步体验很好
等候; 观察; 购物,无特别倾向,否,
乘坐公交; 乘坐地铁; 骑行共享单车,,否,
乘坐轮渡; 拍照; 短暂停留游览,期待修缮完成后再次来访,否,因时间紧迫未能充分体验
游览; 拍照; 参与绘画活动; 调香体验; 阅读; 饮用咖啡/奶茶,推荐; 下次还来,否,参与感满满; 一整天都不会无聊
游览; 观景; 拍照; 品尝小吃; 欣赏艺术创作; 写生观摩,推荐; 下次还来,否,观景和写生观摩带来放松体验
游览; 拍照; 散步; 观景,推荐; 想常来,否,江面景色令人满意; 对未来梧桐落叶充满期待
乘坐轮渡; 拍照; 游览; 观景,推荐体验,否,靠窗站立比二楼座位更出片
参观; 拍照; 散步; 观景,想常来; 推荐,否,公园有点可拍；天气晴朗时体验更好
散步; 拍照; 观景; 乘坐轮渡; 游览,推荐; 想常来,否,拍照体验好; 散步很放松
散步; 游览; 拍照; 观景; 乘坐轮渡; 用餐; 观看日落; 亲子活动,推荐/下次还来,否,让一切美好发生
拍照; 散步; 观赏夕阳; 露营; 遛狗; 游泳,推荐; 下次还来,否,拍照非常出片; 绝美治愈
拍照; 游览; 散步,推荐; 下次还来,否,拍照体验很好，氛围感强，出片率高
,,,
乘坐轮渡; 拍照; 观赏夕阳,推荐; 下次还来,否,拍照体验很出片
拍照; 参观; 研究考察,推荐/值得探访,否,出片好看/适合摄影
乘坐轮渡,,否,
散步; 观景; 游览; 等待观察动物,下次再来尝试,否,欣赏到了景观但未能达成观察江豚的目标
参观; 学习; 缅怀文学记忆,推荐参观; 想常来了解历史文化,否,具有文化深度和教育意义
乘坐地铁; 骑行共享单车; 步行; 观看日落; 欣赏夜景,推荐傍晚前往,否,骑行方便; 观赏日落和夜景体验好
,,,
乘坐轮渡; 拍照; 散步; 游览,推荐（明确给出路线和建议）,否,认为适合拍照且步行体验良好
骑行; 观景; 等待江豚; 拍照,下次还来,是（提前离开）,骑行很顺畅；夕阳景观非常棒
乘坐轮渡; 观赏江豚,有兴趣尝试,否,
观景; 拍照; 打卡,推荐; 下次还来,否,拍照体验非常好
约会; 用餐; 拍照; 打卡; 生日聚会,推荐; 下次还来,否,约会体验非常满意; 拍照效果好; 餐饮选择多样
观看江豚; 阅读; 休息; 亲子活动,推荐; 下次还来,否,看书很放松; 活动适合小朋友
拍照; 观景,推荐,否,适合拍照
驾车游览; 登高观景; 拍照; 散步; 休息,推荐长江大桥和鱼嘴公园,是（因人多和堵车改变原计划）,拍照体验满意，感觉照片有活力和生气
拍照; 参观; 就餐; 休息; 充电,推荐; 想常来,否,拍照和就餐体验都很好
观景; 拍照; 散步,推荐; 想常来,否,拍照体验良好
乘坐轮渡; 拍照; 游览; 阅读; 品尝美食; 散步; 观景; 购物,推荐; 下次还来,否,出片率高; 拍照体验满意; 江边吹风舒适
散步; 游览; 乘坐轮渡; 拍照; 观景; 阅读; 野餐; 观看江豚; 购物; 品尝美食; 观看落日,推荐; 下次还来,否,一路闲逛很美好; 出片效果好
拍照; 散步,推荐/下次还来,否,拍摄体验很好
,,,
,,,
散步; 观景; 拍照; 游览; 乘坐火车,推荐; 下次还来,否,拍照体验满意; 散步过程轻松愉快
观赏夜景; 散步; 拍照; 参观学习; 文化游览,推荐; 下次还来; 想常来,否,心欢畅; 步履轻盈
制作小吃; 工作,无法判断,否,工作内容简单且有培训支持
参观景点; 摄影; 乘坐公共交通; 用餐; 购买纪念品; 阅读; 写明信片; 观看演出; 互动体验; 散步,推荐行程安排; 建议避开人流高峰,否,拍照出片; 参观体验丰富; 吃饭满意
游览; 拍照,不必特意前往打卡; 不推荐,否,摄影体验一般
晒太阳; 亲子活动; 拍照; 观景; 看火车展示; 阅读; 用餐; 探索自然,推荐; 下次还来,否,整个下午都是4元的快乐; 来回看了好几遍
居住; 散步锻炼,观点讨论/咨询,否,散步锻炼条件良好
拍照; 游览; 打卡,推荐; 下次还来,否,拍照超出片
拍照; 观景; 打卡,推荐; 下次还来,否,拍照很出片
购买物品,无法判断,无法判断,无法判断
闲逛; 拍照; 登山; 观景; 乘坐轮渡; 参观博物馆; 观看展览; 用餐; 购物; 散步; 看日落,推荐; 下次还来,否,一路活动很出片，体验很好
参观; 拍照; 游览,推荐/想来参观,无法判断,无法判断
,,,
城市规划讨论; 房地产咨询; 历史文化探讨; 购房咨询,积极购买意愿,否,强调项目稀缺性和投资价值
参观; 回忆往事,未明确表达回避或接近意愿,否,对过去的电话安装经历表示感慨
乘坐轮渡; 寻求帮助,,否,对寻找失物流程表示认可（引导至电话咨询）
游览; 参观; 历史文化探索,推荐; 下次还来,否,能感受到历史厚重的文化体验
拍照; 打卡; 散步; 游览; 观景,推荐; 下次还来,否,随便拍拍都能出大片
骑行; 坐轮渡; 观景; 赏夕阳,推荐骑行路线,否,骑着也爽; 耗时赏景合理
,,,
观景; 拍照; 散步,推荐; 建议前往,否,拍照体验满意
道路建设; 城市规划; 拆迁工作,,,
,,,
享用下午茶; 用餐; 观景; 拍照打卡; 看日落,推荐; 下次还来,否,体验非常舒适且值得重复
散步; 观景; 游览,推荐,否,
拍照; 散步; 观赏夕阳,推荐; 下次还来,否,拍摄体验满意
,无法判断,否,无法判断
购物; 拍照; 发呆; 观景; 看落日,推荐,否,在店门口发呆很惬意
散步; 观景; 赏夕阳,推荐/值得来,否,挺惬意
乘坐轮渡; 观景; 游览浦口火车站旧址; 亲子活动（儿童乐园）,推荐,否,性价比高；视野好
观看日落; 拍照; 打卡; 游览; 散步,推荐; 下次还来,否,拍照很出片; 看日落很治愈
参观游览; 文化体验; 拍照打卡; 休闲娱乐,推荐; 想常来,否,无法判断
参观游览; 拍照; 散步; 划船; 观看表演; 阅读; 餐饮消费; 祭奠; 祈福; 购物,推荐（一定要做的15件小事）,否,亲测很舒适
拍照; 寻找机位; 观察光线变化,推荐; 想常来,否,拍照体验非常满意
散步; 观景; 打卡; 骑行; 看江豚; 拍照,推荐; 想常来,否,认为是一条不错的户外运动和休闲路线
自行车维修; 自行车保养,,,
散步; 跑步; 观景; 拍照; 喝咖啡; 看展; 发呆; 看夕阳,推荐; 想常来,否,一路步行下来很惬意
参观; 游览; 阅读历史,推荐/想再来,否,感受到一处旧时光值得停靠
游览; 文创收集; 盖章; 观赏江豚,推荐; 想常来,否,文创收集体验满意，观赏江豚令人感动
,,,
游览; 步行; 乘坐公交,劝退/避雷,否,对交通安排不满意
乘坐轮渡; 观赏日落,推荐,否,
看房; 购房咨询,,否,
讨论; 比较; 思考,无法判断,无法判断,对不同江岸段落的审美价值进行比较
拍照; 散步; 购物; 休闲饮料消费,下次还来,否,拍照和散步都很惬意
阅读; 学习,,否,知识性内容获取
驾车前往; 夜间游览,推荐; 想再次来,否,夜景观赏体验很好
拍照,,否,拍到了各种颜色的大桥
乘坐公交; 拍照; 游览,推荐; 想再来,否,公交上拍摄体验非常好; 人文互动让旅程更温暖
,,,
,,,
散步; 城市漫步; 拍照; 观景; 亲子活动; 遛狗; 购物; 用餐; 登高; 参观景点,推荐; 想常来,否,适合周末citywalk; 户外好去处; 省时省力
观景; 拍照,下次会考虑携带更好设备再来,否,拍摄体验受限于设备但仍有所收获
拍照; 约会,推荐,否,拍摄效果满意
拍照; 观景; 散步,推荐; 下次还来,否,拍照体验很好
乘坐地铁; 看落日; 骑行; 拍照; 观景; 品尝美食; 夜游秦淮河; 亲子出行; 入住酒店; 收藏推荐,闭眼冲; 收藏推荐; 想为它写小作文,否,房间干净到反光; 拍照直接封神; 吃辣得过瘾
